;
; This is supplied as a sample only. Edit with your own data and formulas as required.
;
; Edit the values and bend equations as required.
; Use 'File - Save As Text' to create an ASCII bend table file
; 
;-----------------------------------------------------------------------
;
;  Notations used in tables:
;
;  
;  ';' = remark character
;
;  '*' = start of a new table
;
;  '/' = special character
;                             U = units of tolerance; thickness; bend radius; and correction values
;                                   m; cm; mm; micron; inch; ft;or yd
;                             S = sheet thickness
;                             R = bending radii
;                             A = opening angle 
;                            T1 = Tolerance (+/-) for sheet thickness S (valid for the whole file)
;                            T2 = tolerance for equal min and max bending radius R 
;                                 The T2 tolerance is only utilized at the minimum and maximum
;                                 bending radii R in the tables.  For model bend radii that fall
;                                 between two values existing in the table; the resultant 
;                                 correction value X is determined by linear interpolation
;                                 using the appropriate x values in the table.
;                            T3 = tolerance for equal min and max opening angle A 
;                                 The T3 tolerance is only utilized at the minimum and maximum
;                                 opening angles A in the tables.  For model opening angles
;                                 that fall between two values existing in the table; the
;                                 resultant correction value X is determined by linear 
;                                 interpolation using the appropriate X values in the table.
;
;-----------------------------------------------------------------------
;
;  The correction value X is applied as follows:
;
;  L = A + B - x
;  
;  (L = unfolded length in flat pattern)
;  (A = length of side A (outside measurement of bendingzone))
;  (B = length of side B (outside measurement of bendingzone))
;
;-----------------------------------------------------------------------
;
; Angle A expressed in degrees.  
;	
;-----------------------------------------------------------------------	
;	
;	
;UNITS for tolerance; thickness; bend radius and correction values	
; use Autodesk Inventor standard units such as 'in' and 'mm'	
/U	mm
;	
;TOLERANCES valid for the whole file	
;	
/T1	0.000040
/T2	0.004000
/T3	0.004000
;	
;	
*** TABLE 1	
;										
;sheet thickness										
/S	0.500000									
;										
;bending radii										
/R		0.125000	0.500000	1.000000	1.500000	2.000000	3.000000	4.000000	5.000000	6.000000
;opening angle: ------------------------ correction value x ----------										
/A	0.000000	0.583221	-0.081305	-0.770316	-1.410263	-2.030123	-3.240866	-4.431522	-5.611171	-6.783858
/A	1.000000	0.586925	-0.069742	-0.749369	-1.380206	-1.991066	-3.183972	-4.356902	-5.518887	-6.673948
/A	5.000000	0.601742	-0.023491	-0.665585	-1.259978	-1.834841	-2.956398	-4.058424	-5.149750	-6.234307
/A	10.000000	0.620264	0.034323	-0.560854	-1.109693	-1.639560	-2.671929	-3.685326	-4.688328	-5.684755
/A	15.000000	0.638785	0.092137	-0.456123	-0.959408	-1.444279	-2.387461	-3.312229	-4.226907	-5.135203
/A	20.000000	0.657307	0.149951	-0.351392	-0.809123	-1.248998	-2.102992	-2.939131	-3.765485	-4.585652
/A	25.000000	0.675829	0.207765	-0.246661	-0.658837	-1.053717	-1.818524	-2.566033	-3.304064	-4.036100
/A	30.000000	0.694350	0.265579	-0.141930	-0.508552	-0.858435	-1.534055	-2.192935	-2.842643	-3.486549
/A	35.000000	0.712872	0.323393	-0.037199	-0.358267	-0.663154	-1.249587	-1.819837	-2.381221	-2.936997
/A	40.000000	0.731394	0.381207	0.067532	-0.207982	-0.467873	-0.965118	-1.446739	-1.919800	-2.387445
/A	45.000000	0.749915	0.439021	0.172263	-0.057697	-0.272592	-0.680650	-1.073642	-1.458378	-1.837894
/A	50.000000	0.768437	0.496835	0.276994	0.092588	-0.077311	-0.396181	-0.700544	-0.996957	-1.288342
/A	55.000000	0.786959	0.554649	0.381725	0.242873	0.117970	-0.111713	-0.327446	-0.535536	-0.738790
/A	60.000000	0.805480	0.612463	0.486456	0.393158	0.313252	0.172756	0.045652	-0.074114	-0.189239
/A	65.000000	0.824002	0.670277	0.591187	0.543443	0.508533	0.457224	0.418750	0.387307	0.360313
/A	70.000000	0.842524	0.728091	0.695918	0.693728	0.703814	0.741693	0.791848	0.848729	0.909864
/A	75.000000	0.861045	0.785905	0.800649	0.844013	0.899095	1.026161	1.164945	1.310150	1.459416
/A	80.000000	0.879567	0.843719	0.905380	0.994298	1.094376	1.310630	1.538043	1.771572	2.008968
/A	85.000000	0.898089	0.901533	1.010111	1.144583	1.289658	1.595098	1.911141	2.232993	2.558519
/A	90.000000	0.916610	0.959347	1.114842	1.294869	1.484939	1.879567	2.284239	2.694414	3.108071
/A	95.000000	0.830546	0.849824	0.968567	1.110478	1.261876	1.578354	1.904317	2.235479	2.569928
/A	100.000000	0.752528	0.753175	0.841603	0.951837	1.070999	1.322201	1.582331	1.847353	2.115469
/A	105.000000	0.681334	0.667444	0.731016	0.815032	0.907417	1.104261	1.309475	1.519276	1.731977
/A	110.000000	0.615956	0.591019	0.634389	0.696839	0.767101	0.918894	1.078498	1.242383	1.408975
/A	115.000000	0.555556	0.522558	0.549708	0.594575	0.646696	0.761401	0.883361	1.009294	1.137742
